trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.99900001}",20,13,8.231322530205807,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9980000200000001}",20,0,-35.480836878577264,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9970000300000001}",20,0,-88.59647888509672,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9960000400000002}",25,0,-107.25757535845031,"{0: 14, 1: 0, 2: 10, 3: 1, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9950000500000002}",35,0,-154.44459895739809,"{0: 21, 1: 2, 2: 9, 3: 2, 4: 1}",0
6,False,"{'a': 0.01, 'e': 0.9940000600000003}",20,0,-83.41371447552218,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
7,False,"{'a': 0.01, 'e': 0.9930000700000003}",20,0,-101.17682550952739,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9920000800000004}",20,0,-268.80322630781933,"{0: 7, 1: 1, 2: 7, 3: 0, 4: 5}",0
9,False,"{'a': 0.01, 'e': 0.9910000900000004}",25,0,-216.5981764833235,"{0: 8, 1: 5, 2: 8, 3: 2, 4: 2}",0
10,False,"{'a': 0.01, 'e': 0.9900001000000005}",25,8,-76.08907712919023,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.01, 'e': 0.9890001100000005}",20,0,-158.47257117375648,"{0: 8, 1: 3, 2: 7, 3: 0, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9880001200000006}",20,6,-14.427575135119202,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.01, 'e': 0.9870001300000006}",20,0,-176.49019416834872,"{0: 7, 1: 3, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.01, 'e': 0.9860001400000007}",30,0,-176.7111347488207,"{0: 18, 1: 1, 2: 8, 3: 1, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9850001500000007}",20,0,-93.5487745526156,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.01, 'e': 0.9840001600000008}",20,0,-145.9874498498324,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
17,False,"{'a': 0.01, 'e': 0.9830001700000008}",25,0,-163.8042804932539,"{0: 14, 1: 5, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.01, 'e': 0.9820001800000009}",20,0,-94.12656065456001,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9810001900000009}",20,0,-74.13545221661322,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.980000200000001}",30,0,-125.72488492058987,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.01, 'e': 0.979000210000001}",25,0,-233.65640111068853,"{0: 10, 1: 2, 2: 9, 3: 1, 4: 3}",0
22,False,"{'a': 0.01, 'e': 0.9780002200000011}",35,0,-134.22851033454276,"{0: 23, 1: 5, 2: 5, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9770002300000011}",30,0,-51.39133431558986,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9760002400000012}",30,4,-159.60033011401165,"{0: 14, 1: 1, 2: 9, 3: 0, 4: 2}",1
25,False,"{'a': 0.01, 'e': 0.9750002500000012}",20,0,-67.58984390790235,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9740002600000013}",20,0,-128.77198656568498,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9730002700000013}",30,0,-140.9340534426851,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9720002800000014}",25,0,-172.43198774153467,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
29,False,"{'a': 0.01, 'e': 0.9710002900000014}",30,0,-99.02589995881348,"{0: 18, 1: 7, 2: 3, 3: 1, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.9700003000000015}",30,0,-108.09307529083301,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9690003100000015}",20,0,-120.9375686262158,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.9680003200000016}",20,0,-65.73939066975571,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.9670003300000016}",20,0,-170.4926714539928,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
34,False,"{'a': 0.01, 'e': 0.9660003400000017}",30,0,-169.95966884807802,"{0: 15, 1: 3, 2: 9, 3: 2, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9650003500000017}",20,0,-140.42314584761283,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.01, 'e': 0.9640003600000018}",30,0,-105.5028649187779,"{0: 15, 1: 5, 2: 10, 3: 0, 4: 0}",0
37,False,"{'a': 0.01, 'e': 0.9630003700000018}",30,0,-225.98213291495867,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9620003800000019}",20,0,-31.336697200781884,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
39,False,"{'a': 0.01, 'e': 0.9610003900000019}",30,0,-113.49198603677956,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.960000400000002}",25,0,-98.3790612627122,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.959000410000002}",20,0,-72.70749489526557,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
42,False,"{'a': 0.01, 'e': 0.9580004200000021}",20,0,-72.3492561106062,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9570004300000021}",25,0,-170.30492780663556,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
44,False,"{'a': 0.01, 'e': 0.9560004400000022}",25,0,-91.07459531479009,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
45,False,"{'a': 0.01, 'e': 0.9550004500000022}",20,0,-36.54855983443523,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.9540004600000023}",20,0,-114.41117922259232,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.9530004700000023}",30,0,-218.50387190360513,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.9520004800000024}",30,0,-234.14190205362902,"{0: 18, 1: 1, 2: 5, 3: 2, 4: 4}",0
49,False,"{'a': 0.01, 'e': 0.9510004900000024}",25,0,-118.42547764992429,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.9500005000000025}",20,0,-107.17352837522553,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.9490005100000025}",20,0,-172.1417221057065,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
52,False,"{'a': 0.01, 'e': 0.9480005200000026}",20,0,-116.88006637599375,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.9470005300000026}",30,0,-179.810056892204,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
54,False,"{'a': 0.01, 'e': 0.9460005400000027}",25,7,-54.80348650993142,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.9450005500000027}",25,0,-92.40260609539739,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.9440005600000028}",30,0,-136.36388381320901,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 2}",0
57,False,"{'a': 0.01, 'e': 0.9430005700000028}",20,0,-66.0135052896006,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.9420005800000029}",20,0,-47.07430954081269,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
59,False,"{'a': 0.01, 'e': 0.9410005900000029}",20,0,-106.31521631890436,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.940000600000003}",25,0,-129.48370201372424,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.939000610000003}",20,0,-78.89738902710141,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.9380006200000031}",25,0,-160.59182854055615,"{0: 12, 1: 6, 2: 4, 3: 1, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.9370006300000031}",20,0,-104.87095225545625,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.9360006400000032}",20,0,-78.14450109628616,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.9350006500000032}",30,0,-87.1164617622952,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.9340006600000033}",25,0,-160.68894587000554,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
